package_weight,packaging_type,handling_quality,distance,route_type,weather_condition,num_transfers,is_damaged
6.490142459033698,cardboard,8,10.938444266709553,rural,clear,1,1
4.585207096486446,cardboard,2,132.73027385623413,rural,clear,5,1
6.9430656143020775,bubble_wrap,2,707.9761105235862,highway,clear,4,1
9.569089569224076,cardboard,10,441.0781678646722,mixed,rain,1,0
4.297539875829992,cardboard,10,763.320370951396,rural,clear,1,1
4.297589129152458,bubble_wrap,8,685.5068611664133,urban,clear,2,0
9.737638446522174,wooden_crate,6,25.963266958485637,urban,clear,0,0
7.302304187458726,plastic_container,4,1115.1853305941222,mixed,clear,3,0
3.5915768421951437,bubble_wrap,3,128.75870700705917,highway,rain,4,0
6.627680130757894,cardboard,1,403.0375061670664,highway,rain,2,0
3.6097469215626132,cardboard,3,516.8171521715051,highway,clear,2,0
3.6028107392892297,fragile_box,9,92.33909226157449,rural,clear,4,0
5.725886814698102,bubble_wrap,5,1869.6919341057323,urban,clear,0,0
0.5,wooden_crate,6,334.8676510380926,rural,clear,2,0
0.5,cardboard,5,29.685386143313814,highway,clear,1,1
3.313137412277082,bubble_wrap,1,1384.3943340227931,rural,rain,1,0
1.9615066389967284,cardboard,10,441.2682393817196,rural,clear,0,0
5.942741997785822,bubble_wrap,1,600.6435370341479,urban,storm,2,1
2.275927773436367,plastic_container,4,372.4053137587787,mixed,clear,4,1
0.7630888959941258,fragile_box,3,900.1114559979086,urban,clear,2,1
9.396946306764661,bubble_wrap,8,16.84740489992664,rural,rain,2,0
4.322671098540393,bubble_wrap,7,156.24589555545117,highway,rain,0,0
5.202584614063771,plastic_container,7,317.1075069775133,urban,rain,3,0
0.7257554413596292,wooden_crate,8,39.848342609698626,mixed,storm,1,1
3.366851826424452,cardboard,10,611.9290553752893,mixed,clear,3,0
5.332767769129598,bubble_wrap,7,250.1600123761487,highway,snow,6,0
1.5470192677330914,cardboard,10,159.1861105296339,urban,clear,4,1
6.127094055037016,bubble_wrap,2,10.0,highway,snow,0,0
